Data Percentage,Num Images,Epoch,Accuracy
10,5996,0,89.94
10,5996,1,92.61
10,5996,2,94.19
10,5996,3,94.89999999999999
10,5996,4,95.15
10,5996,5,95.54
10,5996,6,95.87
10,5996,7,95.87
10,5996,8,96.17999999999999
10,5996,9,95.86
10,5996,10,96.24000000000001
20,11996,0,93.41000000000001
20,11996,1,95.09
20,11996,2,95.62
20,11996,3,96.0
20,11996,4,96.39999999999999
20,11996,5,96.5
20,11996,6,96.23
20,11996,7,96.76
20,11996,8,96.76
20,11996,9,96.16
20,11996,10,96.78
30,17995,0,94.96
30,17995,1,95.93
30,17995,2,96.52
30,17995,3,96.65
30,17995,4,96.97
30,17995,5,96.6
30,17995,6,96.91
30,17995,7,97.11
30,17995,8,97.19
30,17995,9,96.88
30,17995,10,97.3
40,23996,0,95.45
40,23996,1,96.34
40,23996,2,96.61
40,23996,3,96.76
40,23996,4,96.91
40,23996,5,97.42
40,23996,6,97.13000000000001
40,23996,7,97.21
40,23996,8,97.39999999999999
40,23996,9,97.3
40,23996,10,97.39
50,29997,0,95.73
50,29997,1,96.59
50,29997,2,97.03
50,29997,3,97.07000000000001
50,29997,4,97.15
50,29997,5,97.28
50,29997,6,97.52
50,29997,7,97.47
50,29997,8,97.42
50,29997,9,97.53
50,29997,10,97.2
60,35995,0,95.96000000000001
60,35995,1,96.78999999999999
60,35995,2,96.88
60,35995,3,97.06
60,35995,4,97.31
60,35995,5,97.54
60,35995,6,97.25
60,35995,7,97.58
60,35995,8,97.22
60,35995,9,97.67
60,35995,10,97.38
70,41995,0,96.27
70,41995,1,96.34
70,41995,2,97.17
70,41995,3,97.25
70,41995,4,97.39999999999999
70,41995,5,97.44
70,41995,6,97.47
70,41995,7,97.66
70,41995,8,97.34
70,41995,9,97.34
70,41995,10,97.57000000000001
80,47995,0,96.38
80,47995,1,97.00999999999999
80,47995,2,97.36
80,47995,3,97.45
80,47995,4,96.85000000000001
80,47995,5,97.04
80,47995,6,97.5
80,47995,7,97.6
80,47995,8,97.38
80,47995,9,97.83
80,47995,10,97.55
90,53994,0,96.11
90,53994,1,96.98
90,53994,2,97.35000000000001
90,53994,3,97.59
90,53994,4,97.49
90,53994,5,97.53
90,53994,6,97.11
90,53994,7,97.69
90,53994,8,97.45
90,53994,9,97.68
90,53994,10,97.76
100,60000,0,96.76
100,60000,1,97.14
100,60000,2,97.48
100,60000,3,97.5
100,60000,4,97.82
100,60000,5,97.87
100,60000,6,97.84
100,60000,7,97.76
100,60000,8,97.44
100,60000,9,97.57000000000001
100,60000,10,97.82
